CustomerID,TotalSpending,NumTransactions,NumProducts,TotalQuantity,AvgOrderValue,Recency,KMeansCluster,HierCluster,Country,RFM_Segment
12346,77556.46,12,27,74285,2281.0723529411766,325,1,0,United Kingdom,Lost
12608,415.79,1,16,323,25.986875,404,0,1,United Kingdom,Lost
12745,723.85,2,20,467,32.90227272727273,486,0,1,United Kingdom,Lost
12746,254.55,1,17,97,14.973529411764707,540,0,1,United Kingdom,Lost
12747,9276.539999999999,26,85,2758,36.09548638132296,1,0,1,United Kingdom,Champion
12748,56599.39,336,2286,39108,7.830574156059767,0,1,0,United Kingdom,Champion
12749,6897.36,9,260,2360,20.40639053254438,3,0,1,United Kingdom,Champion
12777,519.45,1,26,458,19.978846153846156,457,0,1,United Kingdom,Lost
12819,540.52,1,19,344,28.448421052631577,457,0,1,United Kingdom,Lost
12820,2689.52,11,131,1964,16.915220125786163,2,0,1,United Kingdom,Champion
12821,220.8,2,13,162,16.984615384615385,213,0,1,United Kingdom,Lost
12822,948.88,2,41,550,20.62782608695652,70,0,1,United Kingdom,At Risk
12823,6501.5,18,1,930,361.19444444444446,74,0,1,United Kingdom,Loyal
12824,397.12,1,25,232,15.8848,59,0,1,United Kingdom,At Risk
12825,518.63,2,20,139,21.609583333333333,520,0,1,United Kingdom,Lost
12826,2955.75,12,93,1995,17.805722891566266,2,0,1,United Kingdom,Champion
12827,430.15000000000003,3,19,197,17.206000000000003,5,0,1,United Kingdom,Loyal
12828,1018.71,6,46,494,18.19125,2,0,1,United Kingdom,Champion
12829,385.3,3,17,550,20.278947368421054,336,0,1,United Kingdom,Lost
12830,6814.64,6,13,9848,179.33263157894737,37,0,1,United Kingdom,Champion
12831,451.11,3,16,303,20.505,261,0,1,United Kingdom,Lost
12832,383.03,2,27,195,14.186296296296295,31,0,1,United Kingdom,At Risk
12833,417.38,1,24,156,17.390833333333333,144,0,1,United Kingdom,At Risk
12834,312.38,1,18,110,17.354444444444443,282,0,1,United Kingdom,Lost
12835,6043.31,41,138,2357,9.747274193548387,427,0,1,United Kingdom,Lost
12836,6585.62,15,280,2236,15.907294685990339,58,0,1,United Kingdom,Champion
12837,688.41,2,83,209,7.482717391304347,172,0,1,United Kingdom,At Risk
12838,3398.48,10,230,1845,8.034231678486998,33,0,1,United Kingdom,Champion
12839,10071.73,26,156,6849,17.48564236111111,2,0,1,United Kingdom,Champion
12840,4041.97,7,109,2258,22.965738636363636,143,0,1,United Kingdom,At Risk
12841,7540.68,40,307,5414,10.741709401709402,4,0,1,United Kingdom,Champion
12842,1917.99,4,45,887,39.958125,69,0,1,United Kingdom,Loyal
12843,6588.41,30,130,3031,29.81180995475113,65,0,1,United Kingdom,Loyal
12844,648.6,4,88,223,6.297087378640777,28,0,1,United Kingdom,Loyal
12845,354.09,4,26,204,13.114444444444443,266,0,1,United Kingdom,Lost
12846,15.58,1,1,1,15.58,681,0,1,United Kingdom,Lost
12847,1636.8999999999999,2,100,1533,12.99126984126984,21,0,1,United Kingdom,At Risk
